title,year,name,type,character,n
"Tall, Dark and Handsome",1941,Sheldon Leonard,actor,Pretty Willie Williams,5.0
"Taxi, Mister",1943,Sheldon Leonard,actor,Gangster Louis Glorio,4.0
"Taxi, Mister",1943,Sheldon Leonard,actor,The Frisco Ghost,4.0
The Brink's Job,1978,Sheldon Leonard,actor,J. Edgar Hoover,7.0
The Diamond Queen,1953,Sheldon Leonard,actor,Mogul,4.0
The Fabulous Joe,1947,Sheldon Leonard,actor,Louie,5.0
The Falcon in Hollywood,1944,Sheldon Leonard,actor,Louie Buchanan,5.0
The Gangster,1947,Sheldon Leonard,actor,Cornell,7.0
The Gentleman Misbehaves,1946,Sheldon Leonard,actor,Trigger Stazzi,7.0
The Iroquois Trail,1950,Sheldon Leonard,actor,Chief Ogane,6.0
The Last Crooked Mile,1946,Sheldon Leonard,actor,Ed 'Wires' MacGuire,5.0
The People's Enemy,1935,Sheldon Leonard,actor,Third Department of Justice Representative,
Timber Queen,1944,Sheldon Leonard,actor,Smacksie Golden,4.0
To Have and Have Not,1944,Sheldon Leonard,actor,Lt. Coyo,6.0
Tortilla Flat,1942,Sheldon Leonard,actor,Tito Ralph,6.0
Trocadero,1944,Sheldon Leonard,actor,Mickey Jones,5.0
Two Knights from Brooklyn,1949,Sheldon Leonard,actor,Louis Glorio,6.0
Two Knights from Brooklyn,1949,Sheldon Leonard,actor,The Frisco Ghost,6.0
Uncertain Glory,1944,Sheldon Leonard,actor,Henri Duval,8.0
Violence,1947,Sheldon Leonard,actor,Fred Stalk,3.0
Week-End in Havana,1941,Sheldon Leonard,actor,Boris,7.0
Why Girls Leave Home,1945,Sheldon Leonard,actor,Chris Williams,2.0
Young Man with Ideas,1952,Sheldon Leonard,actor,Rodwell 'Brick' Davis,9.0
Boy Culture,2006,Skyler Leonard,actor,Dong,46.0
The Agency: Hunt for the Cure,2010,Stephanie (IV) Leonard,actor,Agent Hendrix,10.0
The Agency: Survival of the Fittest,2011,Stephanie (IV) Leonard,actor,Agent Hendrix,6.0
Time Travelers (II),2012,Stephanie (IV) Leonard,actor,Erica Daniels,5.0
Time Travelers 2: The Darkness Within,2013,Stephanie (IV) Leonard,actor,Erica Daniels,
Mickey,2004,Steve (II) Leonard,actor,Nevada Radio Announcer #1,49.0
Filthy Rich Filthy Uncle Phil,2010,Steve (III) Leonard,actor,Mr. Lang,
Ulzana's Raid,1972,Steve T. Leonard,actor,Ginsford Boy,
I Spy,2002,Sugar Ray Leonard,actor,Vegas Commentator,13.0
Riot,1996,Sugar Ray Leonard,actor,Major Williams,2.0
The Fighter,2010,Sugar Ray Leonard,actor,Sugar Ray Leonard,26.0
Rimisherim,2017,Tahiraj Leonard,actor,Bardok,
A Man Called Horse,1970,Terry Leonard,actor,Striking Bear,13.0
Barquero,1970,Terry Leonard,actor,Hawk,17.0
Black Samson,1974,Terry Leonard,actor,Samson's Street People,47.0
Blue Thunder,1983,Terry Leonard,actor,Assault Man,
Death Journey,1976,Terry Leonard,actor,Thug,
Death Wish II,1982,Terry Leonard,actor,Sniper in Tree,
Dillinger,1973,Terry Leonard,actor,Theodore 'Handsome Jack' Klutas,
Firepower,1979,Terry Leonard,actor,Gunman on horse,
Inside Moves,1980,Terry Leonard,actor,Lucius' Man,20.0
Joy Ride,2001,Terry Leonard,actor,Bartender,17.0
On the Road,2012,Terry Leonard,actor,Pecos Truck Driver,60.0
Raiders of the Lost Ark,1981,Terry Leonard,actor,Driver of German Truck,
Slaughter's Big Rip-Off,1973,Terry Leonard,actor,Thug,
The Deadly Trackers,1973,Terry Leonard,actor,Deputy,
The Legend of the Lone Ranger,1981,Terry Leonard,actor,Valentine (Cavendish gang),42.0
The Life and Times of Judge Roy Bean,1972,Terry Leonard,actor,Outlaw,9.0
The Lord of the Rings,1978,Terry Leonard,actor,Character Actor,44.0
The Mountain Men,1980,Terry Leonard,actor,Crow Brave,18.0
The Wind and the Lion,1975,Terry Leonard,actor,President Roosevelt's Sparring Partner,
Grand Champion,2002,Terry (IV) Leonard,actor,Gus,60.0
Beacon Hill,2004,Tim Leonard,actor,Court Officer,
The Bride & The Grooms,2009,Tim (III) Leonard,actor,Bald Man,
American Rescue Squad,2015,Timothy Leonard,actor,Homeless Person,
The Midnight Wedding,1912,Tom Leonard,actor,Pvt. Bobo,
Annapolis,2006,Tom (V) Leonard,actor,Boxing Fan,
Creed,2015,Tom (V) Leonard,actor,VIP Boxing Fan,
Limitless,2011,Tom (V) Leonard,actor,Political Block Captain,
Night Catches Us,2010,Tom (V) Leonard,actor,Backyard Guest,
Paranoia,2013,Tom (V) Leonard,actor,Doorman,
Silver Linings Playbook,2012,Tom (V) Leonard,actor,Dance Contest Spectator,
Slow Learners,2015,Tom (V) Leonard,actor,Bar Drunk,50.0
Taps,1981,Tom (V) Leonard,actor,Tank Driver,
The Cup,2011,Tony (IV) Leonard,actor,The Coodabeen Champions,87.0
Random Breach,2012,Tory Leonard,actor,Agent Bobbert,2.0
Random Breach 2,2013,Tory Leonard,actor,Agent Bobbert,
Freedom (II),2014,Wayland Leonard,actor,English Churchgoer,144.0
Freedom (II),2014,Wayland Leonard,actor,Townsperson,144.0
Love Child,1982,William Leonard,actor,Judge Powell,19.0
Scout Camp,2009,Zach Leonard,actor,Runnin' Road Runner Patrol,58.0
Yesterday Today,2017,Zachary (II) Leonard,actor,Ralph Hamburger,9.0
Beyond Therapy,1987,Matthew Leonard-Lesniak,actor,Mr. Bean,12.0
Zodiac: Apa Bintangmu?,2017,Kevin Leonardho,actor,"Darius, the Sagitarius",12.0
L'imbalsamatore,2002,Aldo Leonardi,actor,Deborah's Boss,13.0
Dominion,1995,Anthony Leonardi,actor,Eric,20.0
Ghost Warrior,1984,Anthony Leonardi,actor,Gang Member,32.0
La terza stella,2005,Coco Leonardi,actor,Luigi,11.0
Nirvana,1997,Coco Leonardi,actor,Father Jimi,27.0
Watashi wa kai ni naritai,2008,Cristiano Leonardi,actor,Judge,
Il principe e il pirata,2001,Giordano Leonardi,actor,Rasta on the beach,
Slovenka,2009,Igor Leonardi,actor,Gape,21.0
Indelible,2007,Joe Leonardi,actor,Cochran,
Boone Style,2005,Joseph Leonardi,actor,Ed,
Haunting Villisca,2006,Joseph Leonardi,actor,James Dowars,
All the Money in the World,2017,Marco Leonardi,actor,Mammoliti,
Anime nere,2014,Marco Leonardi,actor,Luigi,1.0
Banditi,1995,Marco Leonardi,actor,David,2.0
Cha cha cha,2013,Marco Leonardi,actor,Le photographe,7.0
Ciao ma'...,1988,Marco Leonardi,actor,Paolo,
Como agua para chocolate,1992,Marco Leonardi,actor,Pedro Muzquiz,1.0
"Ferdinando, uomo d'amore",1990,Marco Leonardi,actor,Ferdinando,
I cavalieri che fecero l'impresa,2001,Marco Leonardi,actor,Ranieri di Panico,2.0
Il coraggio di parlare,1987,Marco Leonardi,actor,"Fortunato, the shepard",6.0
Italiani,1996,Marco Leonardi,actor,Fortunato,6.0
La frontiera,1996,Marco Leonardi,actor,Franco Velich,2.0
La ragazza del mondo,2016,Marco Leonardi,actor,Celestino,3.0
La ribelle,1993,Marco Leonardi,actor,Sebastiano,4.0
La sposa era bellissima,1987,Marco Leonardi,actor,Giuseppe,3.0
Manhattan Merengue!,1995,Marco Leonardi,actor,Carmelo,3.0
"Maradona, la mano di Dio",2007,Marco Leonardi,actor,Diego Armando Maradona,1.0
Mary,2005,Marco Leonardi,actor,Apostle Peter,7.0
My Brother Jack,1997,Marco Leonardi,actor,Jack Casale,1.0
Nuovo Cinema Paradiso,1988,Marco Leonardi,actor,Salvatore 'Totò' Di Vita - Teenager,5.0
Once Upon a Time in Mexico,2003,Marco Leonardi,actor,Fideo,8.0
Scugnizzi,1989,Marco Leonardi,actor,Salvatore,
Texas Rangers,2001,Marco Leonardi,actor,Jesus Sandoval,27.0
The Five Senses,1999,Marco Leonardi,actor,Roberto 'Luigi',18.0
The Space Between (II),2016,Marco Leonardi,actor,Di Stasio,6.0
Ultimo minuto,1987,Marco Leonardi,actor,Paolo,9.0
Una famiglia,2017,Marco Leonardi,actor,Pietro,5.0
Una vacanza all'inferno,1997,Marco Leonardi,actor,Angelo,1.0
Ustica: The Missing Paper,2016,Marco Leonardi,actor,Corrado di Acquaformosa,
Viva San Isidro,1995,Marco Leonardi,actor,Quintino,
Crossing Blood Lines,2015,Michael Leonardi,actor,Vito Melchionne,9.0
Boss,2013,Mike 'Leo' Leonardi,actor,Chicago Alderman,
Callback,2014,Mike 'Leo' Leonardi,actor,Luigi,11.0
"Atilano, presidente",1998,Nacho Leonardi,actor,Mingarro,13.0
La pistola de mi hermano,1997,Nacho Leonardi,actor,Paparazzi,32.0
Pintadas,1997,Nacho Leonardi,actor,Argentino,
The Bed and How to Make It!,1966,Paul Leonardi,actor,Barfly #2,
The Sex Cycle,1967,Paul Leonardi,actor,Mike,
Il dolce e l'amaro,2007,Santo Leonardi,actor,Traduttore di Partinico,
4 marmittoni alle grandi manovre,1974,Sergio Leonardi,actor,Nino Mioni,2.0
"Bianco, rosso, giallo, rosa",1964,Sergio Leonardi,actor,Il capo delle guardie,
Ciao marziano,1980,Sergio Leonardi,actor,Il benzinaio,12.0
Fratello homo sorella bona,1972,Sergio Leonardi,actor,Pinuccio,1.0
"Giovani, belle... probabilmente ricche",1982,Sergio Leonardi,actor,Alberto,5.0
I camionisti,1982,Sergio Leonardi,actor,Chiavica,5.0
Il casinista,1980,Sergio Leonardi,actor,Un regista,6.0
Il ficcanaso,1980,Sergio Leonardi,actor,Lino,3.0
Il provinciale,1971,Sergio Leonardi,actor,Sergio,3.0
L'imbranato,1979,Sergio Leonardi,actor,Capo dei rapitori,5.0
Play-Boy,1967,Sergio Leonardi,actor,Sergio,1.0
Quickly - Spari e baci a colazione,1971,Sergio Leonardi,actor,Scotch,1.0
Sella d'argento,1978,Sergio Leonardi,actor,Butch The Bartender,10.0
"Ti spacco il muso, bimba!",1982,Sergio Leonardi,actor,Chico Ball,1.0
Tutti a squola,1979,Sergio Leonardi,actor,Pappone,6.0
Gianni e le donne,2011,Tiziano Leonardi,actor,Pianista,
District 9,2009,Vittorio Leonardi,actor,Michael Bloemstein - MNU Alien Civil Affairs,18.0
Crushed Lives - Il sesso dopo i figli,2015,Walter Leonardi,actor,Saverio,1.0
La luna su Torino,2013,Walter Leonardi,actor,Ugo,1.0
Solo per il weekend,2015,Walter Leonardi,actor,Caiani,6.0
Dahil mahal kita: The Dolzura Cortez Story,1993,Amiel Leonardia,actor,Symposium Emcee,28.0
Gamitin mo ako,1985,Amiel Leonardia,actor,Doctor,21.0
Ikaw,1993,Amiel Leonardia,actor,Dr. Noriega,12.0
Kailan ka magiging akin,1991,Amiel Leonardia,actor,Leila's Boss,21.0
Pinulot ka lang sa lupa,1987,Amiel Leonardia,actor,College Dean,10.0
Rosenda,1989,Amiel Leonardia,actor,Mr. Jose,16.0
La quebradita,1994,Leonardo (II),actor,Sgt. López,20.0
Resultado final,1998,Leonardo (II),actor,Peluquero,13.0
Chimera House,1999,Leonardo (IV),actor,Nosepicking Driver,19.0
Xuxa Popstar,2000,Leonardo (V),actor,Dado,
Miting de Avance,1963,Boy Leonardo,actor,1963 PMC's Tawag ng Tanhalan Champion,9.0
American Muscle,2014,Brandon Leonardo,actor,Biker,
Acts of Worship,2001,Cesar Leonardo,actor,Pete,
Saturn,1999,Cesar Leonardo,actor,Dealer #1,7.0
Promdi,2017,Chris (II) Leonardo,actor,Lloyd,
Mano po III: My Love,2004,Conrado Leonardo,actor,Solicitor General (Manila - 1970s),31.0
Break-Up Nightmare,2016,Gregory Leonardo,actor,Police Officer,39.0
Boatman,1985,Guillermo Leonardo,actor,Benjie's Friend #3,42.0
Sindrome de Pinocchio,2008,Hugo Leonardo,actor,Heshel,19.0
Camp X-Ray,2014,Jian Leonardo,actor,Squad #2,
Get Him to the Greek,2010,Jian Leonardo,actor,Model,
Gods Behaving Badly,2013,Jian Leonardo,actor,Neil's Friend,
Men in Black 3,2012,Jian Leonardo,actor,MIB Agent,
Old Dogs,2009,Jian Leonardo,actor,Airport Security #3,
Premium Rush,2012,Jian Leonardo,actor,New Enforcer,
Premium Rush,2012,Jian Leonardo,actor,Principal,
Safe,2012,Jian Leonardo,actor,Triad Guard #1,
Salt,2010,Jian Leonardo,actor,CIA,
The Adjustment Bureau,2011,Jian Leonardo,actor,Mayor Bloomberg's Aid,
The Rewrite,2014,Jian Leonardo,actor,Ellen's Assistant,
The Sitter,2011,Jian Leonardo,actor,Asian Man With Smoke,
The Sorcerer's Apprentice,2010,Jian Leonardo,actor,Sun Roc,
Ang huling henya,2013,John (II) Leonardo,actor,Extras at Club Ramp,166.0
Boatman,1985,Jose Ramil Leonardo,actor,Benjie's Friend #2,41.0
A Very Tough Course,2013,Joshua Leonardo,actor,Sgt. Jonesy,2.0
Blood Relatives,2014,Joshua Leonardo,actor,Conrad Reese,
I Was a Teenage Alien Mutant Cyborg,2017,Joshua Leonardo,actor,Koloth,
Moses: Fallen. In the City of Angels.,2005,Leo Leonardo,actor,Mexican Outlaw,24.0
End of the Spear,2005,Louie Leonardo,actor,Mincayani,1.0
Exiled in America,1992,Louie Leonardo,actor,Bus Boy,13.0
It Runs in the Family,2003,Louie Leonardo,actor,Ruelas,
Play It to the Bone,1999,Louie Leonardo,actor,Freddy Green,12.0
Shaft,2000,Louie Leonardo,actor,Pistolero,55.0
Walk of Fame,2017,Louie Leonardo,actor,Louie,16.0
Ikaw pa rin ang iibigin,1998,Lucas Leonardo,actor,Cristy's Boyfriend,35.0
Two Funerals,2010,Lucas Leonardo,actor,Campaign Manager,32.0
American Reel,2003,Mike Leonardo,actor,Music Video Director,
Chi Girl,1999,Mike Leonardo,actor,Mickey,35.0
Greener,2004,Mike Leonardo,actor,Richard Kahn,2.0
100 tula para kay Stella,2017,Pongs Leonardo,actor,Bully #1,
Pugante,1973,Rady Leonardo,actor,Introducing,20.0
Caballos salvajes,1995,Rubén Leonardo,actor,Financial guard,
LightSpeed,2011,Tommy Leonardo,actor,Mule Nuts,
Highway,2002,George Leonardopoulos,actor,Harris,47.0
Wonderland,2003,George Leonardopoulos,actor,Tommy Conway,24.0
American Bomber,2013,Costa (II) Leonardos,actor,Troy,
The Friends We Haven't Met Yet,2009,Marshall Leonardy,actor,Isabelle's Fling,
Donne senza nome,1950,Guglielmo Leoncini,actor,Bit part,23.0
Il voto,1950,Guglielmo Leoncini,actor,Bianchetti,11.0
La dolce vita,1960,Guglielmo Leoncini,actor,Scalise's Secretary,
Ang tipo kong lalake (Maginoo pero medyo...),1995,Johnny Leoncio,actor,Repairman,33.0
Don de Dios,2005,Nestor Leoncio,actor,Don Julio,
Jordon Saffron: Taste This!,2009,Sotelo Leoncio,actor,Leo,
Mr. Lee,2016,Peter (II) Leondedis,actor,Neighbor,
"She Loves Me, She Loves Me Not",2015,Peter (II) Leondedis,actor,Neighbor,
Electric Heart,2017,Andreas Leondidis,actor,Blake,
Igor,2008,Alexander Leondis,actor,Blind Orphan #3,17.0
Igor,2008,Michael Leondis,actor,Blind Orphan #6,20.0
Igor,2008,Tony Leondis,actor,Killiseum Fan #4,32.0
The Emoji Movie,2017,Tony Leondis,actor,Laughter,17.0
The Emoji Movie,2017,Tony Leondis,actor,Broom,17.0
The Emoji Movie,2017,Tony Leondis,actor,Pizza,17.0
Black Eyed Girl,2006,Ray Leone Jr.,actor,Ray,
Arnold's Wrecking Co.,1973,Anthony Leone,actor,Gangster #1,25.0
Close Up,1996,Anthony Leone,actor,Prison Warden,33.0
Jane Street,1997,Anthony Leone,actor,Randy,
South of 8,2016,Anthony (IX) Leone,actor,CCM Vigilante,55.0
L'uomo nero,2009,Arduino Leone,actor,Farmacista,
Outis Suite,2014,Arduino Leone,actor,Cyclops,
American Romance,2016,Brian Leone,actor,Young Jeff,
Kaguyahime no monogatari,2013,Brian Leone,actor,Villager,16.0
Fuoco su di me,2006,Bruno (II) Leone,actor,Burattinaio,
Bad Girl Island,2007,Chris Leone,actor,Band Member Lead Vocals,
Bad Girl Island,2007,Chris Leone,actor,Guitar,
Dead in Texas,2005,Chris Leone,actor,Zephorian,12.0
I Can See Clearly Now,2006,Chris Leone,actor,Chase,
Potheads: The Movie,2006,Chris Leone,actor,Anthony,2.0
Self Medicated,2005,Chris Leone,actor,Brightway Patient,44.0
The Girl Next Door,2004,Chris Leone,actor,Responsible Media Minion,43.0
Underclassman,2005,Chris Leone,actor,Student,
One Another,2011,Christopher J. Leone,actor,Chris Leone,11.0
Non prendere impegni stasera,2006,Claudio (II) Leone,actor,Apneista,
Ed's Next Move,1996,Dan Leone,actor,Ed's Redeeming Qualities,43.0
The Coming,2009,Daniel Leone,actor,Tom Elliott,1.0
The Crew,2000,Daniel A. Leone,actor,Barber Shop Guy,52.0
The House on 92nd Street,1945,Danny Leone,actor,Delivery Boy,
Le guerre horrende,2017,Dario Leone,actor,Soldato,
Nemmeno il destino,2004,Dario Leone,actor,I Amico Marchisio,
Qualcosa da condividere,2010,Dario Leone,actor,Leonardo,
Se devo essere sincera,2004,Dario Leone,actor,Lucci,
Star System,2015,Dario Leone,actor,Adam Novi,1.0
Black Mass,2015,Davide (III) Leone,actor,Spectator,
Sex Tape,2014,Davide (III) Leone,actor,Graduation guest,
Ted 2,2015,Davide (III) Leone,actor,Wedding Guest,
The Equalizer,2014,Davide (III) Leone,actor,Construction worker,
The Forger,2014,Davide (III) Leone,actor,Bar Patron,
Fratello,2013,Diana Leone,actor,Restaurant Patron,
Adrift (II),2016,Evan Leone,actor,Bosco,
Aftermath,2013,Evan Leone,actor,John,
An Inappropriate Affect,2013,Evan Leone,actor,M. Saunders,
Hitch,2005,Evan Leone,actor,Wedding Guest,
Lost in the Crack,2012,Evan Leone,actor,Drunk #2,
Whisper Me a Lullaby,2011,Evan Leone,actor,Mom's Date,11.0
"The Better 'ole; or, The Romance of Old Bill",1919,Fernand Leone,actor,Peasant,17.0
A Bigger Splash,2015,Francesco (III) Leone,actor,Boy at San Gaetano's Festival,20.0
Another Happy Day,2011,Frank (II) Leone,actor,Wedding Guest,
L'aviatore,2011,Giovanni Leone,actor,Himself,
L'ambizioso,1975,Giuseppe Leone,actor,Corrado,
Todo modo,1976,Giuseppe Leone,actor,Martellini,16.0
The Tail Job,2015,Giuseppe (II) Leone,actor,Loco Bar Patron,
2307: Winter's Dream,2016,Greg Leone,actor,Staff Sergeant Muzdas,
Streets of Legend,2003,Greg Leone,actor,Leone,4.0
The Zwickys,2014,Gustavo Leone,actor,Javier,
A Wife's Sacrifice,1916,Henry Leone,actor,Maltia,5.0
Arsene Lupin,1917,Henry Leone,actor,Guernay-Martin,3.0
Cohen's Luck,1915,Henry Leone,actor,Laskey,10.0
Daughter of Destiny,1917,Henry Leone,actor,Police Agent Morhange,5.0
Fair Lady,1922,Henry Leone,actor,Ricardo,8.0
Her Price,1918,Henry Leone,actor,Professor Didot,4.0
His Greatest Sacrifice,1921,Henry Leone,actor,Rimini,8.0
Lady Barnacle,1917,Henry Leone,actor,Nizam of Bandorporia,8.0
My Cousin,1918,Henry Leone,actor,"Roberto Lombardi, the rich grocer",2.0
Prunella,1918,Henry Leone,actor,Scaramel,
Should a Mother Tell,1915,Henry Leone,actor,Prefect of Police,11.0
Sin,1915,Henry Leone,actor,Giovanni,5.0
Such a Little Queen,1921,Henry Leone,actor,Boris,8.0
Tangled Lives,1917,Henry Leone,actor,Pesca,5.0
The Eternal Question,1916,Henry Leone,actor,Carlo,6.0
The Green-Eyed Monster,1916,Henry Leone,actor,Undetermined Role,5.0
The Heart of the Hills,1916,Henry Leone,actor,Darton,12.0
The Melting Pot,1915,Henry Leone,actor,Herr Papelmeister,7.0
The Model,1915,Henry Leone,actor,Collins,5.0
The Mortal Sin,1917,Henry Leone,actor,Jean Rambeau,5.0
The Ordeal of Rosetta,1918,Henry Leone,actor,Professor Gelardi,4.0
The Silence Sellers,1917,Henry Leone,actor,Hoffman,7.0
The Song of Songs,1918,Henry Leone,actor,Anselm Kardos,8.0
The Spider and the Fly,1916,Henry Leone,actor,Father Rochelle,9.0
To the Death,1917,Henry Leone,actor,Antonio Manatelli,4.0
002 operazione Luna,1965,Ignazio Leone,actor,Sergio,9.0
2 mafiosi contro Al Capone,1966,Ignazio Leone,actor,Bookmaker,25.0
"Accroche-toi, y'a du vent!",1961,Ignazio Leone,actor,Un membro della banda di Don Cicillo,
Agente 077 missione Bloody Mary,1965,Ignazio Leone,actor,URSS Agent,18.0
Amici per la pelle,1955,Ignazio Leone,actor,Professore di ginnastica,9.0
Armiamoci e partite!,1971,Ignazio Leone,actor,Dottore,27.0
Boccaccio,1972,Ignazio Leone,actor,Il bargello,
Brutti di notte,1968,Ignazio Leone,actor,"Giulio, Rosaspina's Surgeon",6.0
Carosello di canzoni,1958,Ignazio Leone,actor,Imitatore,9.0
Cifrato speciale,1966,Ignazio Leone,actor,Hoover's Agent,12.0
Come svaligiammo la banca d'Italia,1966,Ignazio Leone,actor,Fake Police Inspector,12.0
Con la muerte a la espalda,1967,Ignazio Leone,actor,Ivan,7.0
Da uomo a uomo,1967,Ignazio Leone,actor,Ex-pastore,10.0
Delitto quasi perfetto,1966,Ignazio Leone,actor,Mazzullo,
Don Giovanni in Sicilia,1967,Ignazio Leone,actor,Barman,28.0
Donne sole,1956,Ignazio Leone,actor,Turi,9.0
Finalmente le mille e una notte,1972,Ignazio Leone,actor,Husband of Mariam,8.0
Franco e Ciccio ...ladro e guardia,1969,Ignazio Leone,actor,Caputo,8.0
Giulio Cesare contro i pirati,1962,Ignazio Leone,actor,Frontone,8.0
I 2 deputati,1968,Ignazio Leone,actor,Martina,7.0
I 2 pompieri,1968,Ignazio Leone,actor,Fireman from Veneto,20.0
I don giovanni della Costa Azzurra,1962,Ignazio Leone,actor,Gaspare Patanè,16.0
I due crociati,1968,Ignazio Leone,actor,Biagio,6.0
I due pericoli pubblici,1964,Ignazio Leone,actor,Lawyer,
I tartassati,1959,Ignazio Leone,actor,Il guardiacaccia,12.0
Il clan dei due Borsalini,1971,Ignazio Leone,actor,Gino,11.0
Il corsaro della mezzaluna,1958,Ignazio Leone,actor,Nicola,15.0
"Il lungo, il corto, il gatto",1967,Ignazio Leone,actor,Gestore della sala da biliardo,15.0
Il mattatore,1960,Ignazio Leone,actor,Client of Little Restaurant,
Il mondo dei miracoli,1959,Ignazio Leone,actor,Il capo comparse,19.0
Il mondo le condanna,1953,Ignazio Leone,actor,Il medico,
Il prode Anselmo e il suo scudiero,1972,Ignazio Leone,actor,Il prete all'esecuzione,
Il treno del sabato,1964,Ignazio Leone,actor,Biondi,15.0
Il vedovo,1959,Ignazio Leone,actor,Doorman,17.0
Indovina chi viene a merenda?,1969,Ignazio Leone,actor,Mayor of Montefriddu,
Io non spezzo... rompo,1971,Ignazio Leone,actor,Mazzetti,10.0
Ischia operazione amore,1966,Ignazio Leone,actor,Il prete,13.0
L'amore nasce a Roma,1958,Ignazio Leone,actor,signor Carli,12.0
L'arbitro,1974,Ignazio Leone,actor,Vito Fichera,4.0
L'impiegato,1960,Ignazio Leone,actor,The Sicilian Office Clerk,10.0
L'oro del mondo,1968,Ignazio Leone,actor,Rag. Ferretti,16.0
L'oro di Roma,1961,Ignazio Leone,actor,Partisan from Sicily,14.0
L'uccello migratore,1972,Ignazio Leone,actor,Commissario polizia,8.0
La bambolona,1968,Ignazio Leone,actor,De Simone,8.0
La calandria,1972,Ignazio Leone,actor,Un Ubriaco,18.0
La notte del grande assalto,1959,Ignazio Leone,actor,Sicilian Pickpocket,12.0
La passeggiata,1953,Ignazio Leone,actor,The Teacher who never dreams,27.0
La polizia sta a guardare,1973,Ignazio Leone,actor,Policemen,9.0
La ragazza di Piazza San Pietro,1958,Ignazio Leone,actor,Pippo,12.0
La regina delle Amazzoni,1960,Ignazio Leone,actor,Sofo,6.0
La schiava di Roma,1961,Ignazio Leone,actor,Lutinius,6.0
Lacrime d'amore,1970,Ignazio Leone,actor,Vigile urbano,12.0
Lacrime di sposa,1955,Ignazio Leone,actor,Commissario di polizia,8.0
"Ladro lui, ladra lei",1958,Ignazio Leone,actor,Agente della tributaria,
Le cameriere,1959,Ignazio Leone,actor,Pasquale,
Le infedeli,1953,Ignazio Leone,actor,Policeman,
Le notti peccaminose di Pietro l'Aretino,1972,Ignazio Leone,actor,Blind Person,
Ma che musica maestro,1971,Ignazio Leone,actor,Santa Veronica Bassa Mayor,13.0
Marinai in coperta,1967,Ignazio Leone,actor,Orione,5.0
Moglie e buoi...,1956,Ignazio Leone,actor,Giovanotto del paese,22.0
"Napoli, sole mio!",1958,Ignazio Leone,actor,Totonno,
Racconti d'estate,1958,Ignazio Leone,actor,Achille - the Barman,
Satiricosissimo,1970,Ignazio Leone,actor,Judge,14.0
"Spara, Gringo, spara",1968,Ignazio Leone,actor,Doctor,30.0
Tutti possono arricchire tranne i poveri,1976,Ignazio Leone,actor,Monsignore,5.0
Un americano a Roma,1954,Ignazio Leone,actor,Il regista Verdolini,
Un ettaro di cielo,1958,Ignazio Leone,actor,Riccardo,3.0
Una spada per l'impero,1964,Ignazio Leone,actor,Tigerio,8.0
Uno straniero a Paso Bravo,1968,Ignazio Leone,actor,Jaime,10.0
Zenabel,1969,Ignazio Leone,actor,Guard,8.0
Zingara,1969,Ignazio Leone,actor,Cameriere,16.0
Day of the Scorpion,2004,Jason Leone,actor,Lonnie,
Circle of Two,1981,Jimmy Leone,actor,Mr. Ruspoli,28.0
"Happy Birthday, Gemini",1980,Jimmy Leone,actor,Vegetable Vendor,16.0
Dead Canaries,2003,Joe Leone,actor,Training Terrorist,
The Dying Light,2006,Joe Leone,actor,Ex-Boyfriend,
Christine at the Crossroads,2014,Joe (VII) Leone,actor,Coffee Shop Patron,
On the Isle of Samoa,1950,John (III) Leone,actor,Kiowa,
Around the World in 80 Days,1956,Johnny Leone,actor,Extra,
Dadetown,1995,Joseph Leone,actor,Louis -man at bar,4.0
The Outcasts,2017,Joseph T. Leone,actor,Sci-Fi Kid,
The Outcasts,2017,Joseph T. Leone,actor,Partygoer,
The Outcasts,2017,Joseph T. Leone,actor,Prom Attendee (Captain Kirk),
Chopping Block,2005,Keith Leone,actor,UpChuck Norris,24.0
Fate,2014,Kyle Leone,actor,Luck,4.0
Santa Lucia Luntana,1931,Leo (II) Leone,actor,Mr. Gravesend,
American Mobster,2010,Marco (VI) Leone,actor,Carlo,4.0
Banished,2007,Marco (VI) Leone,actor,Sorbo,
The Cell Mate,2013,Marco (VI) Leone,actor,Frank,
Valley of Angels,2008,Marco (VI) Leone,actor,Dark Suit Marco,21.0
Any Other Normal,2016,Matt (IV) Leone,actor,Professor,
Maze,2000,Matthew Leone,actor,Young Lyle,9.0
Una vita in gioco,2012,Mattia Leone,actor,Roberto,
All I Want for Christmas,2013,Michael (IV) Leone,actor,Max,
Kaguyahime no monogatari,2013,Michael (IV) Leone,actor,Villager,18.0
Moms' Night Out,2014,Michael (IV) Leone,actor,Brandon,13.0
Mr. Church,2016,Michael (IV) Leone,actor,Michael,15.0
She Wants Me,2012,Michael (IV) Leone,actor,Noah,23.0
The Dog Who Saved Easter,2014,Michael (IV) Leone,actor,Ben Bannister,13.0
Walking with Dinosaurs 3D,2013,Michael (IV) Leone,actor,Dinosaur ID Card,13.0
Pasolini,2014,Michele Leone,actor,Intellectual,
ROH Supercard of Honor XI,2017,Pate Leone,actor,Tama Tonga,
Any Other Normal,2016,Peter (IV) Leone,actor,Patient #1,
Killing the Badge,1999,Richard Leone,actor,Jackson Bright,5.0
P.O.V.: The Camera's Eye,2003,Richard Leone,actor,Eric Delgado,
Walking on Sunshine,2014,Roberto (IV) Leone,actor,Taxi Driver (Travis),11.0
An Almost Perfect Affair,1979,Sergio Leone,actor,Himself,
