title,year,name,type,character,n
Cattle Drive,1951,Leon Ames,actor,Chester Graham Sr.,4.0
Charlie Chan on Broadway,1937,Leon Ames,actor,Buzz Moran,10.0
Cipher Bureau,1938,Leon Ames,actor,Maj. Philip Waring,1.0
Code of the Streets,1939,Leon Ames,actor,'Chick' Foster,6.0
"Come On, Leathernecks!",1938,Leon Ames,actor,Otto Wagner,4.0
"Come On, Leathernecks!",1938,Leon Ames,actor,Baroni,4.0
Crime Doctor,1943,Leon Ames,actor,William Wheeler,7.0
Crisis,1950,Leon Ames,actor,Sam Proctor,7.0
Dangerously Yours,1937,Leon Ames,actor,Phil,9.0
Death in the Air,1936,Leon Ames,actor,Carl Goering,3.0
Dial 1119,1950,Leon Ames,actor,Earl,5.0
East Side Kids,1940,Leon Ames,actor,Pat O'Day,1.0
Ellery Queen and the Murder Ring,1941,Leon Ames,actor,John Stack,7.0
Forgotten,1933,Leon Ames,actor,Louie Strauss,4.0
From the Terrace,1960,Leon Ames,actor,Samuel Eaton,5.0
Fugitive at Large,1939,Leon Ames,actor,Carter,8.0
Get That Man,1935,Leon Ames,actor,Don Clayton,4.0
Get That Man,1935,Leon Ames,actor,McDonald,4.0
Hammersmith Is Out,1972,Leon Ames,actor,General Sam Pembroke,5.0
I Was a Convict,1939,Leon Ames,actor,Jackson,7.0
I'll Tell the World,1934,Leon Ames,actor,Spud Marshall,8.0
International Settlement,1938,Leon Ames,actor,Monte Silvers,9.0
Island in the Sky,1938,Leon Ames,actor,Marty Butler,7.0
It's a Big Country: An American Anthology,1951,Leon Ames,actor,Secret Service Man,16.0
Jake Speed,1986,Leon Ames,actor,Pop Winston,5.0
"Just You and Me, Kid",1979,Leon Ames,actor,Manduke the Magnificent,5.0
Lady in the Lake,1947,Leon Ames,actor,Derace Kingsby,5.0
Legion of Lost Flyers,1939,Leon Ames,actor,Smythe,8.0
Let's Do It Again,1953,Leon Ames,actor,Chet Stuart,4.0
Little Women,1949,Leon Ames,actor,Mr. March,11.0
Man of Conquest,1939,Leon Ames,actor,John Hoskins,16.0
Meet Me in St. Louis,1944,Leon Ames,actor,Mr. Alonzo Smith,5.0
Merton of the Movies,1947,Leon Ames,actor,Lawrence Rupert,4.0
Mr. Moto in Danger Island,1939,Leon Ames,actor,Commissioner Madero,6.0
Murder in Greenwich Village,1937,Leon Ames,actor,Rodney Hunter,11.0
Mutiny Ahead,1935,Leon Ames,actor,McMurtrie,3.0
Mysterious Mr. Moto,1938,Leon Ames,actor,Paul Brissac,6.0
No Greater Sin,1941,Leon Ames,actor,Dr. Edward Cavanaugh,1.0
"No Leave, No Love",1946,Leon Ames,actor,Colonel Elliott,7.0
Now I'll Tell,1934,Leon Ames,actor,Max,17.0
On a Clear Day You Can See Forever,1970,Leon Ames,actor,Burt Clews,19.0
On an Island with You,1948,Leon Ames,actor,Commander Harrison,8.0
On Moonlight Bay,1951,Leon Ames,actor,George Winfield,4.0
Only Yesterday,1933,Leon Ames,actor,Lee,
Pack Up Your Troubles,1939,Leon Ames,actor,Adjutant,13.0
Panama Patrol,1939,Leon Ames,actor,Maj. Phillip Waring,1.0
Parachute Jumper,1933,Leon Ames,actor,Pilot with Alabama,
Peggy Sue Got Married,1986,Leon Ames,actor,Barney Alvorg,15.0
Peyton Place,1957,Leon Ames,actor,Mr. Harrington,13.0
Quick Millions,1931,Leon Ames,actor,Hood,9.0
Reckless,1935,Leon Ames,actor,Ralph Watson,17.0
Rescue Squad,1935,Leon Ames,actor,Lester Vaughn,3.0
Risky Business,1939,Leon Ames,actor,Hinge Jackson,4.0
Sabre Jet,1953,Leon Ames,actor,Lt. Col. George Eckert,5.0
Scene of the Crime,1949,Leon Ames,actor,Capt. A.C. Forster,5.0
Secrets of a Nurse,1938,Leon Ames,actor,Joe Largo,6.0
Ship of Wanted Men,1933,Leon Ames,actor,Capt. John Holden,3.0
Silver Dollar,1932,Leon Ames,actor,Yates' Secretary,
Son of Flubber,1963,Leon Ames,actor,President Rufus Daggett,7.0
Son of Lassie,1945,Leon Ames,actor,Anton,6.0
Song of the Thin Man,1947,Leon Ames,actor,Mitchell Talbin,7.0
State's Attorney,1932,Leon Ames,actor,First Trial Prosecutor,
Stowaway,1932,Leon Ames,actor,Tommy,2.0
Strange Faces,1938,Leon Ames,actor,Joe Gurney,4.0
Strangers All,1935,Leon Ames,actor,Frank Walker,9.0
Suez,1938,Leon Ames,actor,Napoleon III - Emperor of France,13.0
Testament,1983,Leon Ames,actor,Henry Abhart,8.0
That's My Boy,1932,Leon Ames,actor,Al Williams,7.0
The Absent Minded Professor,1961,Leon Ames,actor,President Rufus Daggett,5.0
The Big Hangover,1950,Leon Ames,actor,Carl Bellcap,5.0
The Cockeyed Miracle,1946,Leon Ames,actor,Ralph Humphrey,8.0
The Count of Monte Cristo,1934,Leon Ames,actor,Beauchamp,
The Crosby Case,1934,Leon Ames,actor,Clifford Mulford,
The Famous Ferguson Case,1932,Leon Ames,actor,Judd Brooks,15.0
The Great Morgan,1946,Leon Ames,actor,K.F. Studio Exec,2.0
The Happy Years,1950,Leon Ames,actor,Samuel H. Stover - Sr.,4.0
The Iron Major,1943,Leon Ames,actor,Robert 'Bob' Stewart,4.0
The Man Who Dared,1933,Leon Ames,actor,Yosef Novak,7.0
The Marshal of Mesa City,1939,Leon Ames,actor,Sheriff Jud Cronin,3.0
The Meal,1975,Leon Ames,actor,Bernard Wallace Kroger,3.0
The Misadventures of Merlin Jones,1964,Leon Ames,actor,Judge Holmsby,3.0
